timestamp,source,total_items,classes_detected,low_stock_items,counts_json
2026-03-22 18:03:55,Image,19,7,"Chips, Apples, Soft Drinks, Packet Drinks",Apples: 1; Bread: 4; Chips: 1; Oranges: 3; Packet Drinks: 1; Soft Drinks: 2; Sweets: 7
2026-03-22 18:03:57,Image,21,8,"Chips, Apples, Soft Drinks, Packet Drinks, Noodles",Apples: 1; Bread: 5; Chips: 1; Noodles: 1; Oranges: 3; Packet Drinks: 1; Soft Drinks: 2; Sweets: 7
2026-03-22 18:04:51,Video,15,8,"Sweets, Chips, Bread, Packet Drinks, Soft Drinks, Oranges, Noodles",Apples: 5; Bread: 2; Chips: 1; Noodles: 1; Oranges: 1; Packet Drinks: 2; Soft Drinks: 1; Sweets: 2
2026-03-22 18:05:21,Webcam,3,2,"Sweets, Noodles",Noodles: 1; Sweets: 2
2026-03-22 21:45:15,Image,19,7,"Packet Drinks, Chips, Sweets",Apples: 3; Bread: 5; Chips: 2; Noodles: 3; Packet Drinks: 2; Soft Drinks: 3; Sweets: 1
2026-03-22 21:45:31,Image,26,8,"Packet Drinks, Chips, Sweets",Apples: 4; Bread: 7; Chips: 2; Noodles: 3; Oranges: 3; Packet Drinks: 2; Soft Drinks: 3; Sweets: 2
2026-03-22 21:45:52,Image,30,8,"Packet Drinks, Chips, Soft Drinks, Oranges",Apples: 5; Bread: 4; Chips: 2; Noodles: 4; Oranges: 2; Packet Drinks: 2; Soft Drinks: 2; Sweets: 9
2026-03-22 21:46:02,Image,36,8,"Packet Drinks, Chips",Apples: 6; Bread: 6; Chips: 2; Noodles: 4; Oranges: 3; Packet Drinks: 2; Soft Drinks: 3; Sweets: 10
2026-03-22 21:46:11,Image,40,8,Packet Drinks,Apples: 6; Bread: 6; Chips: 3; Noodles: 4; Oranges: 3; Packet Drinks: 2; Soft Drinks: 4; Sweets: 12
2026-03-22 21:46:23,Image,30,8,"Packet Drinks, Chips, Soft Drinks, Oranges",Apples: 5; Bread: 4; Chips: 2; Noodles: 4; Oranges: 2; Packet Drinks: 2; Soft Drinks: 2; Sweets: 9
2026-03-22 21:46:24,Image,30,8,"Packet Drinks, Chips, Soft Drinks, Oranges",Apples: 5; Bread: 4; Chips: 2; Noodles: 4; Oranges: 2; Packet Drinks: 2; Soft Drinks: 2; Sweets: 9
2026-03-22 21:46:37,Image,30,8,"Chips, Packet Drinks, Oranges",Apples: 3; Bread: 5; Chips: 2; Noodles: 4; Oranges: 1; Packet Drinks: 2; Soft Drinks: 4; Sweets: 9
2026-03-22 21:47:08,Image,26,8,"Packet Drinks, Chips, Sweets",Apples: 4; Bread: 7; Chips: 2; Noodles: 3; Oranges: 3; Packet Drinks: 2; Soft Drinks: 3; Sweets: 2
2026-03-22 21:47:27,Image,26,8,"Packet Drinks, Chips, Sweets",Apples: 4; Bread: 7; Chips: 2; Noodles: 3; Oranges: 3; Packet Drinks: 2; Soft Drinks: 3; Sweets: 2
2026-03-22 21:48:39,Image,3,1,None,Packet Drinks: 3
2026-03-22 21:49:09,Image,4,1,None,Noodles: 4
2026-03-22 21:49:37,Image,32,8,"Packet Drinks, Chips, Bread, Oranges",Apples: 5; Bread: 2; Chips: 2; Noodles: 5; Oranges: 1; Packet Drinks: 2; Soft Drinks: 4; Sweets: 11
2026-03-23 01:44:20,Webcam OBB,2,1,Sweets,Sweets: 2
2026-03-23 01:45:57,Image,19,6,"Chips, Apples",Apples: 2; Bread: 4; Chips: 1; Noodles: 3; Soft Drinks: 4; Sweets: 5
2026-03-23 01:46:05,Image,19,7,"Chips, Apples, Soft Drinks, Packet Drinks",Apples: 1; Bread: 4; Chips: 1; Oranges: 3; Packet Drinks: 1; Soft Drinks: 2; Sweets: 7
2026-03-23 01:54:11,Image,19,7,"Chips, Apples, Soft Drinks, Packet Drinks",Apples: 1; Bread: 4; Chips: 1; Oranges: 3; Packet Drinks: 1; Soft Drinks: 2; Sweets: 7
2026-03-23 01:54:23,Image,24,8,"Chips, Apples, Soft Drinks, Packet Drinks, Noodles",Apples: 2; Bread: 7; Chips: 1; Noodles: 1; Oranges: 3; Packet Drinks: 1; Soft Drinks: 2; Sweets: 7
2026-03-23 01:55:12,Video,19,8,"Bread, Chips, Soft Drinks, Oranges, Noodles",Apples: 6; Bread: 2; Chips: 1; Noodles: 1; Oranges: 1; Packet Drinks: 3; Soft Drinks: 2; Sweets: 3
2026-03-23 01:58:59,Webcam,3,2,"Noodles, Sweets",Noodles: 1; Sweets: 2
2026-03-23 02:01:27,Webcam,2,1,Sweets,Sweets: 2
2026-03-23 02:01:31,Webcam,3,2,"Sweets, Noodles",Noodles: 1; Sweets: 2
2026-03-23 02:03:01,Webcam,3,2,"Noodles, Sweets",Noodles: 1; Sweets: 2
2026-03-23 02:05:02,Webcam,2,1,Sweets,Sweets: 2
2026-03-23 02:15:05,Webcam,2,1,Sweets,Sweets: 2
2026-03-23 13:03:40,Image,24,7,"Chips, Oranges",Apples: 4; Bread: 4; Chips: 2; Noodles: 3; Oranges: 2; Soft Drinks: 4; Sweets: 5
2026-03-23 13:03:57,Image,54,8,"Chips, Packet Drinks, Noodles",Apples: 3; Bread: 9; Chips: 2; Noodles: 1; Oranges: 9; Packet Drinks: 2; Soft Drinks: 7; Sweets: 21
2026-03-23 13:07:49,Image,51,8,"Chips, Packet Drinks",Apples: 6; Bread: 6; Chips: 2; Noodles: 3; Oranges: 8; Packet Drinks: 2; Soft Drinks: 6; Sweets: 18
2026-03-23 13:09:52,Image,61,8,Packet Drinks,Apples: 3; Bread: 6; Chips: 4; Noodles: 6; Oranges: 11; Packet Drinks: 2; Soft Drinks: 8; Sweets: 21
2026-03-23 13:55:53,Webcam,0,0,None,
2026-03-23 14:16:50,Image,63,8,None,Apples: 3; Bread: 6; Chips: 4; Noodles: 6; Oranges: 11; Packet Drinks: 3; Soft Drinks: 8; Sweets: 22
2026-03-23 14:21:44,Video,27,8,"Chips, Noodles, Oranges",Apples: 6; Bread: 4; Chips: 1; Noodles: 2; Oranges: 2; Packet Drinks: 4; Soft Drinks: 3; Sweets: 5
2026-03-23 14:35:54,Video,23,8,"Chips, Noodles, Oranges",Apples: 6; Bread: 3; Chips: 1; Noodles: 1; Oranges: 1; Packet Drinks: 4; Soft Drinks: 3; Sweets: 4
2026-03-23 21:37:24,Image,60,8,Noodles,Apples: 8; Bread: 6; Chips: 3; Noodles: 1; Oranges: 11; Packet Drinks: 4; Soft Drinks: 7; Sweets: 20
2026-03-23 21:38:22,Webcam,0,0,None,
2026-03-24 18:23:39,Image,12,6,"Apples, Chips, Sweets, Packet Drinks",Apples: 2; Bread: 3; Chips: 2; Packet Drinks: 1; Soft Drinks: 3; Sweets: 1
2026-03-24 18:23:57,Image,13,5,"Chips, Bread, Sweets",Apples: 4; Bread: 1; Chips: 1; Soft Drinks: 5; Sweets: 2
2026-03-24 18:24:05,Image,17,5,"Chips, Bread",Apples: 4; Bread: 2; Chips: 2; Soft Drinks: 5; Sweets: 4
2026-03-24 18:24:25,Image,0,0,None,
2026-03-24 18:24:42,Image,1,1,Soft Drinks,Soft Drinks: 1
2026-03-24 18:25:18,Image,14,7,"Chips, Bread, Apples, Packet Drinks, Noodles",Apples: 1; Bread: 1; Chips: 2; Noodles: 1; Packet Drinks: 1; Soft Drinks: 4; Sweets: 4
2026-03-24 18:25:48,Image,6,5,"Soft Drinks, Bread, Apples, Sweets, Chips",Apples: 1; Bread: 1; Chips: 1; Soft Drinks: 2; Sweets: 1
2026-03-24 18:25:58,Image,7,6,"Soft Drinks, Bread, Apples, Sweets, Chips, Packet Drinks",Apples: 1; Bread: 1; Chips: 1; Packet Drinks: 1; Soft Drinks: 2; Sweets: 1
2026-03-24 18:25:58,Image,6,5,"Soft Drinks, Bread, Apples, Sweets, Chips",Apples: 1; Bread: 1; Chips: 1; Soft Drinks: 2; Sweets: 1
2026-03-24 18:26:15,Image,54,8,"Chips, Packet Drinks, Noodles",Apples: 3; Bread: 9; Chips: 2; Noodles: 1; Oranges: 9; Packet Drinks: 2; Soft Drinks: 7; Sweets: 21
2026-03-24 18:26:34,Image,4,4,"Soft Drinks, Chips, Bread, Apples",Apples: 1; Bread: 1; Chips: 1; Soft Drinks: 1
2026-03-24 18:26:50,Image,21,6,Noodles,Apples: 6; Bread: 3; Noodles: 1; Oranges: 4; Soft Drinks: 4; Sweets: 3
2026-03-24 18:27:18,Image,1,1,Chips,Chips: 1
2026-03-24 18:27:25,Image,0,0,None,
2026-03-24 18:27:37,Image,0,0,None,
2026-03-24 18:27:47,Image,6,2,Noodles,Noodles: 1; Sweets: 5
2026-03-24 18:28:02,Image,61,8,None,Apples: 10; Bread: 3; Chips: 5; Noodles: 6; Oranges: 3; Packet Drinks: 4; Soft Drinks: 8; Sweets: 22
2026-03-24 18:28:40,Image,3,1,None,Soft Drinks: 3
2026-03-24 18:28:59,Image,3,1,None,Apples: 3
2026-03-24 18:29:52,Image,1,1,Bread,Bread: 1
2026-03-24 18:30:06,Image,8,1,None,Soft Drinks: 8
2026-03-24 18:30:35,Image,4,3,"Chips, Apples, Noodles",Apples: 2; Chips: 1; Noodles: 1
